Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Reliability
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,134007,False,70000,Moderate
Tahoe,Makkah,Chevrolet,Automatic,Saudi,Semi Full,2007,4.7,176000,True,0,Unreliable
GS,Dammam,MG,Automatic,Saudi,Full,2016,1.5,139000,False,42000,Moderate
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,40000,False,59000,Moderate
H100,Qassim,Hyundai,Automatic,Other,Full,2016,4.0,145000,True,0,Moderate
Navara,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,2.5,178754,False,45000,Moderate
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,False,31000,Moderate
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2019,5.7,45000,False,145000,Reliable
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,False,150000,Moderate
LX,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,1700,False,498000,Reliable
X,Dammam,BMW,Automatic,Saudi,Full,2011,5.0,205000,True,0,Unreliable
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2018,2.7,275916,False,67000,Moderate
Navara,Jeddah,Nissan,Manual,Saudi,Full,2015,2.5,83000,False,45000,Moderate
IS,Jeddah,Lexus,Automatic,Saudi,Full,2005,3.5,400000,False,50000,Unreliable
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,246000,True,0,Moderate
6,Dammam,Mazda,Automatic,Saudi,Standard,2016,2.5,267000,False,50000,Moderate
Ciocca,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,5.7,114000,False,89000,Unreliable
Suburban,Aseer,GMC,Automatic,Other,Standard,1994,5.3,3700562,True,0,Unreliable
Furniture,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,2.4,120000,False,92000,Moderate
Other,Jeddah,Other,Manual,Other,Semi Full,2021,1.2,3000,False,5500,Reliable
Charger,Najran,Dodge,Automatic,Saudi,Full,2012,3.0,147000,True,0,Unreliable
S,Riyadh,Mercedes,Automatic,Saudi,Full,2016,4.7,95165,True,0,Moderate
Expedition,Al-Ahsa,Ford,Manual,Saudi,Full,2012,4.8,304,False,38000,Unreliable
Sierra,Khobar,GMC,Automatic,Saudi,Full,2021,5.3,2000,False,190000,Reliable
Land Cruiser Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016,4.0,243038,False,93500,Moderate
Accord,Jeddah,Honda,Automatic,Gulf Arabic,Full,2005,2.4,300000,False,11000,Unreliable
Rush,Al-Medina,Toyota,Automatic,Saudi,Full,2020,1.5,12000,True,0,Reliable
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,106787,False,48500,Unreliable
Azera,Makkah,Hyundai,Automatic,Saudi,Full,2021,3.5,25000,False,2690,Reliable
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,False,55000,Moderate
Grand Marquis,Riyadh,Mercury,Automatic,Other,Full,2007,4.6,570000,False,24000,Unreliable
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,False,110000,Moderate
Rav4,Makkah,Toyota,Automatic,Saudi,Full,2018,1.8,63000,False,90000,Moderate
Echo Sport,Dammam,Ford,Automatic,Other,Standard,2015,1.5,159000,True,0,Moderate
Sonata,Aseer,Hyundai,Automatic,Saudi,Full,2016,2.4,230000,False,45000,Moderate
Accord,Dammam,Honda,Automatic,Gulf Arabic,Full,2019,1.5,81000,False,95000,Moderate
Furniture,Riyadh,Toyota,Manual,Saudi,Semi Full,2015,4.0,70346,False,80500,Moderate
6,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.5,36000,True,0,Reliable
Silverado,Riyadh,Chevrolet,Automatic,Saudi,Full,2012,5.3,350000,True,0,Unreliable
The 5,Jeddah,BMW,Automatic,Saudi,Semi Full,2019,2.0,29900,False,150000,Reliable
Corolla,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,1.6,186000,False,27000,Unreliable
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,2.7,5000,False,153000,Reliable
Previa,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2010,4.0,300,True,0,Unreliable
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,77000,False,28500,Moderate
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2020,5.3,18000,True,0,Reliable
Camry,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,False,45000,Moderate
CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,2016,3.0,230000,False,50000,Moderate
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,5.6,50000,False,150000,Moderate
Marquis,Al-Medina,Ford,Automatic,Other,Semi Full,2004,4.6,200000,True,0,Unreliable
Flying Spur,Dammam,Bentley,Automatic,Saudi,Full,2010,5.0,58000,False,175000,Moderate
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,83000,False,45000,Moderate
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.5,277000,False,48000,Moderate
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2015,5.7,119000,False,180000,Moderate
Furniture,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.7,160000,True,0,Moderate
Edge,Riyadh,Ford,Automatic,Saudi,Semi Full,2008,3.5,146000,True,0,Unreliable
Prado,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,False,78000,Moderate
Camry,Taef,Toyota,Automatic,Saudi,Standard,2021,2.5,10000,False,1519,Reliable
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,250000,False,70000,Unreliable
Senta fe,Aseer,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,245000,True,0,Moderate
Camaro,Aseer,Chevrolet,Automatic,Other,Full,2014,3.6,182,True,0,Moderate
Range Rover,Dammam,Land Rover,Automatic,Other,Full,2019,5.0,3100,True,0,Reliable
C,Dammam,Mercedes,Automatic,Other,Full,2019,2.0,15000,False,175000,Reliable
VTC,Besha,Nissan,Manual,Saudi,Semi Full,2016,4.8,136000,True,0,Moderate
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,105558,False,76500,Moderate
Pilot,Riyadh,Honda,Automatic,Gulf Arabic,Full,2015,3.5,98000,False,75000,Moderate
L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2015,2.5,103000,False,30000,Moderate
Charger,Dammam,Dodge,Automatic,Other,Full,2016,3.6,101000,False,95000,Moderate
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,False,38500,Reliable
Sonata,Aseer,Hyundai,Automatic,Saudi,Full,2012,2.4,28000,True,0,Unreliable
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2014,3.6,209500,False,56000,Moderate
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,172600,False,35000,Moderate
Ranger,Aseer,Ford,Manual,Saudi,Full,2015,3.2,145000,False,65000,Moderate
FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,1.6,74658,False,135000,Moderate
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,86500,False,98000,Moderate
Escalade,Dammam,Cadillac,Automatic,Other,Full,2016,6.2,119000,False,178000,Moderate
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2005,4.0,340000,False,35000,Unreliable
Caprice,Khobar,Chevrolet,Automatic,Saudi,Semi Full,2012,6.0,100000,True,0,Unreliable
CX5,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.0,26000,False,112000,Reliable
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,20406,False,132000,Reliable
A7,Makkah,Audi,Automatic,Saudi,Full,2017,2.0,127000,False,135000,Moderate
Altima,Qassim,Nissan,Automatic,Gulf Arabic,Full,2015,2.5,119500,False,47000,Moderate
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,6.2,386000,True,0,Moderate
X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2016,2.5,115000,False,50000,Moderate
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,20000,False,130000,Reliable
Cadenza,Makkah,Kia,Automatic,Gulf Arabic,Full,2011,3.3,334624,False,27500,Unreliable
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2015,3.0,71500,False,265000,Moderate
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2013,5.3,150000,False,65000,Unreliable
Accord,Riyadh,Honda,Automatic,Saudi,Standard,2018,1.5,129000,False,68000,Moderate
H1,Qassim,Hyundai,Automatic,Saudi,Standard,2016,2.4,125000,True,0,Moderate
Tahoe,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2020,4.0,9000,True,0,Reliable
X,Dammam,BMW,Automatic,Gulf Arabic,Semi Full,2017,3.0,71000,False,170000,Moderate
Avalon,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,3.5,167,False,51000,Moderate
S,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53700,False,320000,Moderate
Hilux,Hail,Toyota,Manual,Saudi,Semi Full,2015,4.0,170000,True,0,Moderate
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2017,2.5,150000,True,0,Moderate
Hilux,Al-Medina,Toyota,Manual,Saudi,Standard,2021,2.7,3500,True,0,Reliable
Armada,Hafar Al-Batin,Nissan,Automatic,Saudi,Full,2007,8.0,250000,True,0,Unreliable
Cadenza,Hafar Al-Batin,Kia,Automatic,Saudi,Full,2018,3.3,120,True,0,Moderate
F150,Qassim,Ford,Automatic,Gulf Arabic,Full,2018,5.0,59790,False,135000,Moderate
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2014,6.0,35481,False,106500,Moderate
Yukon,Abha,GMC,Automatic,Other,Standard,2007,5.3,355000,True,0,Unreliable
Charger,Dammam,Dodge,Automatic,Other,Full,2015,5.7,119000,False,105000,Moderate
Fusion,Dammam,Ford,Automatic,Saudi,Full,2014,2.5,118000,True,0,Moderate
Patrol,Qassim,Nissan,Automatic,Saudi,Semi Full,2013,8.0,234000,True,0,Unreliable
Quattroporte,Dammam,Maserati,Automatic,Gulf Arabic,Full,2014,3.8,115000,False,125000,Moderate
Edge,Jeddah,Ford,Automatic,Saudi,Full,2014,3.6,99000,False,1500,Moderate
Malibu,Abha,Chevrolet,Automatic,Saudi,Semi Full,2013,2.4,233000,False,20000,Unreliable
Other,Jeddah,Honda,Manual,Saudi,Standard,2011,1.0,4200,False,6500,Unreliable
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,2.7,37000,False,107000,Reliable
Camry,Dammam,Toyota,Automatic,Saudi,Full,2020,2.5,11800,True,0,Reliable
Range Rover,Jeddah,Land Rover,Automatic,Gulf Arabic,Full,2016,3.5,122000,False,176000,Moderate
Yaris,Al-Ahsa,Toyota,Automatic,Saudi,Standard,2019,1.5,36000,False,43000,Reliable
Bora,Riyadh,Volkswagen,Automatic,Other,Full,2004,1.6,150000,True,0,Unreliable
FJ,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,6.0,50000,False,140000,Moderate
Hilux,Aseer,Toyota,Manual,Saudi,Full,1995,2.4,300,False,15000,Unreliable
Cerato,Khobar,Kia,Automatic,Saudi,Standard,2016,1.6,62000,False,29750,Moderate
ES,Dammam,Lexus,Automatic,Other,Full,2017,3.0,69000,False,142000,Moderate
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,2016,5.7,134000,False,90000,Moderate
Hilux,Al-Medina,Toyota,Manual,Saudi,Semi Full,2014,2.7,309000,False,45000,Moderate
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,4.0,155000,True,0,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2012,5.3,287928,False,58000,Unreliable
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,55000,False,60000,Moderate
Silverado,Qassim,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,380,True,0,Unreliable
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.7,236000,False,75000,Moderate
Compass,Riyadh,Jeep,Automatic,Saudi,Semi Full,2019,2.4,43834,False,66000,Reliable
Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2003,5.3,45000,False,18000,Unreliable
FJ,Makkah,Toyota,Automatic,Saudi,Semi Full,2014,4.0,164,True,0,Moderate
Dyna,Qassim,Isuzu,Manual,Gulf Arabic,Full,2014,6.0,460000,False,120000,Moderate
Hilux,Hail,Toyota,Manual,Saudi,Full,2016,4.0,13200,True,0,Moderate
Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2019,2.4,33000,False,85000,Reliable
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,2019,3.5,38000,False,375000,Reliable
Ranger,Riyadh,Ford,Manual,Saudi,Full,2011,2.5,168000,False,24000,Unreliable
Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,131000,False,74000,Moderate
Hilux,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,68700,True,0,Moderate
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2006,2.5,498000,False,18000,Unreliable
Cadenza,Jeddah,Kia,Automatic,Saudi,Standard,2020,3.5,5000,False,108000,Reliable
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2016,5.7,113000,True,0,Moderate
Hilux,Wadi Dawasir,Toyota,Automatic,Saudi,Full,2020,2.4,30000,False,147000,Reliable
Vego,Jeddah,Ford,Automatic,Saudi,Standard,2019,1.5,47856,False,27500,Reliable
Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,False,53000,Moderate
Viano,Al-Medina,Mercedes,Automatic,Saudi,Full,2015,3.5,119000,False,99000,Moderate
Acadia,Khobar,GMC,Automatic,Other,Standard,2011,3.6,264000,True,0,Unreliable
Other,Khobar,Other,Manual,Other,Semi Full,2019,2.4,1000,True,0,Reliable
Accord,Jeddah,Honda,Automatic,Other,Full,2010,2.4,205,False,30000,Unreliable
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2018,4.8,58000,True,0,Moderate
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2009,5.3,465000,True,0,Unreliable
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,200000,True,0,Moderate
X,Khobar,BMW,Automatic,Saudi,Full,2014,4.4,124000,True,0,Moderate
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,100000,False,115000,Moderate
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,92000,False,28500,Moderate
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2020,4.0,56000,False,225000,Moderate
Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,165000,False,84000,Moderate
Cressida,Aseer,Toyota,Manual,Saudi,Semi Full,1986,4.5,480000,True,0,Unreliable
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2009,5.3,309000,True,0,Unreliable
Bus Urvan,Dammam,Nissan,Manual,Gulf Arabic,Full,2010,2.7,2012,False,14500,Unreliable
Macan,Dammam,Porsche,Automatic,Saudi,Full,2016,3.0,86000,False,158000,Moderate
Prado,Khobar,Toyota,Automatic,Saudi,Semi Full,2012,4.0,311236,True,0,Unreliable
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,78000,False,63000,Moderate
Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2018,2.4,65000,False,64000,Moderate
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2020,2.7,24552,False,76500,Reliable
Rio,Dammam,Kia,Automatic,Saudi,Standard,2016,1.4,154000,False,23000,Moderate
LX,Riyadh,Lexus,Automatic,Other,Standard,1999,1.0,300,True,0,Unreliable
Suburban,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,192000,False,143000,Moderate
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2016,3.5,126000,False,64000,Moderate
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,18197,False,53000,Reliable
Azera,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2017,3.0,75000,True,0,Moderate
Yukon,Jeddah,GMC,Automatic,Saudi,Standard,2010,5.3,379538,False,65000,Unreliable
Blazer,Abha,Chevrolet,Automatic,Other,Full,2005,2.0,213000,False,13500,Unreliable
Yaris,Dammam,Toyota,Automatic,Saudi,Full,2020,1.5,2100,False,50000,Reliable
Innova,Tabouk,Toyota,Automatic,Saudi,Full,2017,2.7,139400,False,58000,Moderate
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2020,2.7,74000,False,75000,Moderate
Accent,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,174000,False,24000,Moderate
IS,Riyadh,Lexus,Automatic,Saudi,Full,2015,3.5,181000,False,60000,Moderate
Land Cruiser 70,Tabouk,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.0,100,True,0,Moderate
Hilux,Makkah,Toyota,Manual,Saudi,Standard,2009,1.5,25788,False,30000,Unreliable
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2007,5.3,221000,False,30000,Unreliable
Caprice,Jeddah,Chevrolet,Automatic,Saudi,Standard,2009,3.5,320000,False,27000,Unreliable
Taurus,Jeddah,Ford,Automatic,Saudi,Standard,2018,3.5,63000,False,80000,Moderate
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,136000,False,58000,Moderate
Corolla,Khobar,Toyota,Automatic,Saudi,Semi Full,2018,1.6,124000,False,40000,Moderate
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,13500,True,0,Reliable
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,4.6,19400,False,215000,Reliable
LX,Hail,Lexus,Automatic,Saudi,Full,2000,5.7,460,False,46000,Unreliable
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Full,2006,3.5,300,False,21000,Unreliable
Land Cruiser,Aseer,Toyota,Manual,Saudi,Full,2006,4.6,283,True,0,Unreliable
Explorer,Riyadh,Ford,Automatic,Saudi,Semi Full,2018,3.5,15000,True,0,Moderate
Carnival,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.0,168000,True,0,Moderate
Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2016,4.0,315,False,85000,Moderate
Sunny,Dammam,Nissan,Automatic,Gulf Arabic,Standard,2018,1.5,59700,True,0,Moderate
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,59073,False,186500,Moderate
H6,Jeddah,HAVAL,Automatic,Saudi,Full,2021,2.0,45000,True,0,Reliable
CX3,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,False,66000,Reliable
Rav4,Riyadh,Toyota,Automatic,Other,Full,2018,2.5,61000,False,83000,Moderate
Land Cruiser Pickup,Riyadh,Nissan,Automatic,Saudi,Full,2016,4.8,44000,False,95000,Moderate
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,91355,False,74500,Moderate
Accord,Makkah,Honda,Automatic,Gulf Arabic,Full,2015,3.5,110,True,0,Moderate
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.5,30766,False,42000,Reliable
6,Dammam,Mazda,Automatic,Gulf Arabic,Semi Full,2016,2.5,134000,True,0,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,107320,False,130000,Moderate
Impala,Jeddah,Chevrolet,Automatic,Saudi,Full,2015,3.6,170,True,0,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2016,5.3,146000,False,118000,Moderate
H1,Jeddah,Hyundai,Automatic,Saudi,Standard,2015,4.0,400000,False,43000,Moderate
Corolla Cross,Jeddah,Toyota,Manual,Saudi,Semi Full,2009,1.6,430000,True,0,Unreliable
Carenz,Dammam,Kia,Automatic,Gulf Arabic,Full,2014,8.0,150000,True,0,Moderate
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2020,4.0,26000,False,235000,Reliable
Traverse,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2020,3.6,22800,False,100000,Reliable
Hilux,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,188,True,0,Moderate
Pajero,Khobar,Mitsubishi,Automatic,Saudi,Standard,2015,3.5,264000,False,38000,Moderate
Navara,Abha,Nissan,Manual,Saudi,Standard,2015,2.5,119000,False,37000,Moderate
LX,Riyadh,Lexus,Automatic,Saudi,Full,2014,5.7,196000,True,0,Moderate
FJ,Aseer,Toyota,Automatic,Gulf Arabic,Full,2015,4.0,200000,False,88000,Moderate
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2018,2.5,42000,False,95000,Moderate
Durango,Riyadh,Dodge,Automatic,Other,Semi Full,2012,5.7,315,False,20000,Unreliable
Mustang,Jeddah,Ford,Automatic,Other,Standard,2013,2.3,180000,True,0,Unreliable
LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,4.6,130000,False,75000,Unreliable
ES,Riyadh,Lexus,Automatic,Saudi,Standard,2021,2.5,13000,True,0,Reliable
Azkarra,Qassim,Geely,Automatic,Saudi,Full,2021,1.5,20000,False,78000,Reliable
Suburban,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,454000,True,0,Unreliable
Avalon,Taef,Toyota,Automatic,Saudi,Full,2017,3.5,180000,False,95000,Moderate
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2016,3.5,176700,False,130000,Moderate
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Full,2008,5.3,256,True,0,Unreliable
Pathfinder,Al-Medina,Nissan,Automatic,Saudi,Semi Full,2001,2.7,546473,False,14000,Unreliable
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2018,5.3,82011,False,146500,Moderate
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2016,5.0,35500,True,0,Moderate
Caprice,Dammam,Chevrolet,Automatic,Saudi,Full,2013,6.0,190000,False,50000,Unreliable
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2016,3.5,248000,True,0,Moderate
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2017,2.4,300000,True,0,Moderate
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.7,123000,False,33000,Moderate
Land Cruiser Pickup,Jeddah,Toyota,Manual,Saudi,Semi Full,2014,4.0,118000,True,0,Moderate
GL,Riyadh,Mercedes,Automatic,Saudi,Full,2012,4.8,106000,False,71000,Unreliable
Furniture,Al-Medina,Toyota,Automatic,Saudi,Full,2008,4.0,288000,False,36000,Unreliable
Yukon,Riyadh,GMC,Automatic,Other,Standard,2007,1.0,300,True,0,Unreliable
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,45370,False,49000,Moderate
Yukon,Al-Ahsa,GMC,Automatic,Gulf Arabic,Semi Full,1995,5.3,275000,False,18000,Unreliable
Veloster,Riyadh,Hyundai,Automatic,Saudi,Full,2013,2.0,248000,False,25000,Unreliable
L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2020,2.5,197,False,71000,Reliable
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2015,2.7,77000,False,45000,Moderate
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.7,62000,True,0,Moderate
6,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,2.0,196000,False,50000,Moderate
City,Riyadh,Honda,Automatic,Gulf Arabic,Full,2016,4.0,51000,False,43000,Moderate
Camry,Al-Medina,Toyota,Manual,Other,Semi Full,2000,1.8,800000,True,0,Unreliable
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2013,5.3,232,True,0,Unreliable
Suburban,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2007,5.3,226853,True,0,Unreliable
Land Cruiser Pickup,Dammam,Nissan,Manual,Saudi,Full,2013,4.8,311000,True,0,Unreliable
Victoria,Taef,Ford,Automatic,Saudi,Standard,2006,4.6,320000,False,19500,Unreliable
G,Dammam,Mercedes,Automatic,Saudi,Full,2015,4.0,188000,False,270000,Moderate
Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2017,2.4,69000,False,51000,Moderate
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,90000,False,27000,Moderate
Marquis,Tabouk,Ford,Automatic,Other,Standard,2007,4.6,260000,False,18000,Unreliable
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,73567,False,36500,Moderate
Elantra,Hail,Hyundai,Automatic,Saudi,Standard,2017,2.0,86000,False,34000,Moderate
LX,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,2000,True,0,Reliable
Camry,Riyadh,Toyota,Automatic,Other,Semi Full,2006,2.4,200000,True,0,Unreliable
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2013,4.6,25000,True,0,Unreliable
S,Riyadh,Mercedes,Automatic,Other,Semi Full,2005,5.0,350000,False,20000,Unreliable
Explorer,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,3.5,127000,False,88000,Moderate
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2018,3.5,60000,True,0,Moderate
Camry,Wadi Dawasir,Toyota,Automatic,Saudi,Standard,2014,2.5,542966,False,22000,Moderate
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,19131,False,406500,Reliable
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,30000,True,0,Moderate
FJ,Dammam,Toyota,Automatic,Saudi,Full,2017,4.0,265000,False,110000,Moderate
POS24,Al-Medina,Mercedes,Manual,Saudi,Full,1975,8.0,22552,True,0,Unreliable
Land Cruiser,Dammam,Toyota,Manual,Saudi,Standard,2006,4.5,86000,False,90000,Moderate
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2016,2.7,331000,False,62000,Moderate
Aveo,Riyadh,Chevrolet,Automatic,Saudi,Standard,2011,1.6,21110,True,0,Unreliable
Tahoe,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2011,5.3,250000,False,40000,Unreliable
Accent,Abha,Hyundai,Automatic,Saudi,Standard,2019,1.4,94000,True,0,Moderate
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2017,1.6,20000,False,41000,Moderate
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2016,3.5,108000,False,79000,Moderate
Patrol,Najran,Nissan,Automatic,Saudi,Full,2016,4.0,196,True,0,Moderate
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.6,50700,False,37000,Moderate
Yaris,Tabouk,Toyota,Automatic,Saudi,Standard,2017,1.5,12500,False,32000,Moderate
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015,5.3,165,True,0,Moderate
Rio,Jubail,Kia,Manual,Saudi,Standard,2011,1.4,218000,False,11500,Unreliable
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,119000,False,32000,Moderate
Symbol,Riyadh,Renault,Automatic,Saudi,Standard,2016,1.6,173000,False,16000,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,161796,False,54500,Moderate
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,4.6,288000,True,0,Unreliable
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,89685,False,34500,Moderate
Q,Riyadh,INFINITI,Automatic,Saudi,Full,2019,3.5,5000,False,90500,Reliable
